City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,fairbanks,64.8378,-147.7164,-7.17,70,40,1.54,US,1681418646
173,freeport,40.6576,-73.5832,32.99,36,0,8.23,US,1681418705
174,lagunas,-5.2269,-75.6753,28.3,79,100,1.28,PE,1681418705
175,vostok,46.4856,135.8833,-3.54,94,55,0.88,RU,1681418705
176,tiquisio,8.5597,-74.2669,33.84,54,100,1.75,CO,1681418706
177,christchurch,-43.5333,172.6333,12.73,90,100,3.6,NZ,1681418608
178,aksu,41.1231,80.2644,12.59,23,51,2.02,CN,1681418707
179,fare,-16.7,-151.0167,27.5,69,19,3.58,PF,1681418707
180,antalaha,-14.9003,50.2788,23.7,90,12,1.55,MG,1681418707
181,staraya poltavka,50.4772,46.4814,12.36,81,100,12.57,RU,1681418708
182,saldanha,-33.0117,17.9442,14.03,80,20,3.55,ZA,1681418708
183,lumeje,-11.55,20.7833,18.07,88,12,2.35,AO,1681418709
184,neiafu,-18.65,-173.9833,28.38,74,20,3.6,TO,1681418709
185,port-cartier,50.0334,-66.8654,4.82,95,88,0.94,CA,1681418259
186,ariogala,55.2667,23.4667,8.62,93,100,4.44,LT,1681418710
187,vilhena,-12.7406,-60.1458,27.12,74,75,3.09,BR,1681418710
188,san quintin,30.4833,-115.95,15.25,60,36,8.11,MX,1681418710
189,la plata,-34.9215,-57.9545,19.46,32,1,3.97,AR,1681418413
190,lompoc,34.6391,-120.4579,22.61,59,20,11.18,US,1681418616
191,tygda,53.1167,126.3333,-3.93,92,91,1.65,RU,1681418712
192,luderitz,-26.6481,15.1594,16.26,65,33,6.56,NA,1681418712
193,bonavista,48.6499,-53.1147,-0.34,95,99,7.59,CA,1681418713
194,grindavik,63.8424,-22.4338,6.97,81,100,3.6,IS,1681418713
195,fort nelson,58.8053,-122.7002,7.77,34,40,3.6,CA,1681418593
196,codrington,-38.2667,141.9667,11.36,95,6,3.71,AU,1681418569
197,pinheiro,-2.5214,-45.0825,25.66,85,61,1.61,BR,1681418714
198,shelburne,44.0787,-80.2041,26.42,49,0,6.2,CA,1681418714
199,shache,38.4167,77.2406,15.03,21,51,2.83,CN,1681418715
200,muros,42.7762,-9.0603,13.94,81,100,7.04,ES,1681418715
201,iwanai,42.9744,140.5089,4.13,85,51,1.52,JP,1681418716
202,kavaratti,10.5669,72.642,28.55,74,100,2.21,IN,1681418716
203,tullow,52.8003,-6.7369,6.25,87,92,0.81,IE,1681418717
204,maceio,-9.6658,-35.7353,27.69,74,0,4.63,BR,1681418339
205,ust-nera,64.5667,143.2,-12.94,94,87,1.91,RU,1681418717
206,vila do maio,15.1333,-23.2167,24.44,80,84,4.7,CV,1681418717
207,carnarvon,-24.8667,113.6333,20.54,66,82,12.46,AU,1681418718
208,mineiros,-17.5694,-52.5511,24.29,78,56,0.43,BR,1681418718
209,sur,22.5667,59.5289,29.74,47,0,2.43,OM,1681418719
210,carutapera,-1.195,-46.02,26.08,84,99,3.16,BR,1681418720
211,chikhli,20.35,76.25,28.69,32,100,4.68,IN,1681418720
212,manokwari,-0.8667,134.0833,25.73,77,10,1.12,ID,1681418721
213,omboue,-1.5746,9.2618,26.52,87,100,1.85,GA,1681418721
214,haines junction,60.7522,-137.5108,1.97,55,100,2.06,CA,1681418679
215,matamoros,25.5333,-103.25,31.06,10,75,5.14,MX,1681418722
216,motema,8.6,-11.0333,27.04,59,71,1.84,SL,1681418722
217,gornopravdinsk,60.05,69.9,-14.28,95,85,2.57,RU,1681418723
218,coruripe,-10.1256,-36.1756,25.78,71,96,4.18,BR,1681418588
219,necochea,-38.5473,-58.7368,13.15,59,100,7.99,AR,1681418677
220,alofi,-19.0595,-169.9187,27.94,74,75,7.2,NU,1681418724
221,namibe,-15.1961,12.1522,23.18,72,22,2.08,AO,1681418724
222,russkaya polyana,49.417,31.9201,8.4,97,100,3.09,UA,1681418724
223,san cristobal,7.7669,-72.225,27.1,39,99,2.12,VE,1681418725
224,richards bay,-28.783,32.0377,20.39,94,57,2.58,ZA,1681418632
225,norman wells,65.282,-126.8329,-9.98,67,100,3.6,CA,1681418726
226,kilakarai,9.2333,78.7833,28.29,68,29,3.28,IN,1681418729
227,kahuta,33.5913,73.3868,22.69,34,59,3.02,PK,1681418729
228,castro,-24.7911,-50.0119,18.53,82,61,2.25,BR,1681418730
229,bereda,43.2686,-7.5406,9.52,100,100,3.09,ES,1681418681
230,pyu,18.4833,96.4333,24.21,76,33,2.1,MM,1681418731
231,petropavlovsk-kamchatskiy,53.0452,158.6483,-0.67,100,100,2.0,RU,1681418696
232,karratha,-20.7377,116.8463,27.68,43,100,9.14,AU,1681418731
233,mayo,38.8876,-76.5119,32.34,28,0,6.69,US,1681418733
234,anito,12.4497,125.2886,24.22,93,45,1.83,PH,1681418733
235,kaitangata,-46.2817,169.8464,14.96,74,63,5.55,NZ,1681418550
236,qiongshan,20.0058,110.3542,23.99,94,75,3.0,CN,1681418734
237,suzun,53.7841,82.3116,2.53,76,79,0.76,RU,1681418734
238,xiaoweizhai,26.1903,107.5125,19.81,98,92,0.97,CN,1681418735
239,te anau,-45.4167,167.7167,9.59,88,37,0.57,NZ,1681418618
240,foz,43.5692,-7.2544,11.5,88,100,4.56,ES,1681418735
241,weligama,5.9667,80.4167,25.34,90,42,2.24,LK,1681418735
242,dicabisagan,17.0818,122.4157,24.77,89,89,1.5,PH,1681418736
243,komsomolskiy,40.4272,71.7189,14.4,82,1,2.06,UZ,1681418736
244,turan,16.0678,108.2208,26.99,89,75,1.54,VN,1681418736
245,hare bay,48.8499,-54.0148,2.78,91,100,4.16,CA,1681418737
246,tungor,53.3808,142.9564,-2.2,97,100,3.05,RU,1681418737
247,tres arroyos,-38.3739,-60.2798,11.68,52,100,4.47,AR,1681418737
248,kloulklubed,7.0419,134.2556,24.28,77,24,5.58,PW,1681418738
249,hirara,24.8,125.2833,22.92,100,75,4.63,JP,1681418738
250,yeniseysk,58.4497,92.1703,-3.17,96,100,0.96,RU,1681418738
251,cairns,-16.9167,145.7667,24.97,91,87,1.54,AU,1681418739
252,kenora,49.8167,-94.4337,7.54,57,100,4.12,CA,1681418726
253,tezu,27.9167,96.1667,22.34,43,0,1.93,IN,1681418739
254,nuuk,64.1835,-51.7216,3.34,65,75,4.12,GL,1681418740
255,carmen,18.6333,-91.8333,29.02,58,40,5.14,MX,1681418740
256,gujar khan,33.2558,73.3026,23.68,34,72,1.88,PK,1681418740
257,datong,40.0936,113.2914,7.56,27,99,4.6,CN,1681418740
258,diffa,13.3154,12.6113,28.24,12,16,4.29,NE,1681418741
259,elizabeth city,36.2946,-76.2511,31.01,31,0,6.69,US,1681418741
260,pacific grove,36.6177,-121.9166,18.23,64,0,5.14,US,1681418665
261,zyryanka,65.75,150.85,-14.97,93,72,4.04,RU,1681418742
262,sibolga,1.7427,98.7792,24.22,93,86,1.4,ID,1681418742
263,bambanglipuro,-7.95,110.2833,25.49,86,100,1.72,ID,1681418742
264,tambopata,-12.7333,-69.1833,23.94,88,75,1.54,PE,1681418743
265,itoman,26.1247,127.6694,22.43,96,75,4.63,JP,1681418743
266,andilamena,-17.0167,48.5833,17.68,97,80,1.78,MG,1681418743
267,gat,31.61,34.7642,13.55,100,0,1.46,IL,1681418743
268,lerwick,60.1545,-1.1494,6.0,88,97,5.11,GB,1681418744
269,kanadukathan,10.1754,78.7785,26.48,62,79,1.58,IN,1681418744
270,karaton,-6.3424,106.1045,23.32,92,97,1.97,ID,1681418745
271,verkhnyaya inta,65.9811,60.3094,-16.8,96,65,4.86,RU,1681418745
272,ozernovskiy,51.5,156.5167,1.6,90,78,2.3,RU,1681418745
273,karlstad,59.3793,13.5036,7.31,93,75,4.12,SE,1681418746
274,eskil,38.4017,33.4131,8.05,58,2,2.95,TR,1681418746
275,kungalv,57.871,11.9805,8.4,83,56,3.84,SE,1681418746
276,tanout,14.9709,8.8879,26.78,11,89,5.14,NE,1681418693
277,cap malheureux,-19.9842,57.6142,24.7,84,0,0.7,MU,1681418747
278,sitka,57.0531,-135.33,4.94,81,100,4.12,US,1681418492
279,cayenne,4.9333,-52.3333,25.02,94,75,1.54,GF,1681418704
280,khasan,42.4308,130.6434,5.7,55,10,3.06,RU,1681418748
281,mount gambier,-37.8333,140.7667,11.33,93,1,2.34,AU,1681418615
282,mehran,33.1222,46.1646,18.04,46,86,2.63,IR,1681418748
283,cockburn town,21.4612,-71.1419,25.82,77,51,6.03,TC,1681418749
284,numan,9.4667,12.0333,31.52,15,3,2.19,NG,1681418749
285,hualmay,-11.0964,-77.6139,26.01,71,49,5.96,PE,1681418749
286,eureka,40.8021,-124.1637,15.93,66,60,2.68,US,1681418750
287,watertown,42.3709,-71.1828,32.5,26,0,2.68,US,1681418135
288,saskylakh,71.9167,114.0833,-26.06,99,53,2.82,RU,1681418750
289,tateyama,34.9833,139.8667,17.04,76,82,7.31,JP,1681418750
290,thinadhoo,0.5333,72.9333,27.93,75,44,3.22,MV,1681418751
291,sarangani,5.4033,125.4636,27.88,72,42,1.13,PH,1681418751
292,santa catarina de tepehuanes,25.35,-105.7333,23.21,14,100,11.78,MX,1681418752
293,nador,35.174,-2.9287,19.14,42,0,3.09,MA,1681418752
294,fomboni,-12.28,43.7425,28.23,69,94,2.62,KM,1681418752
295,mayumba,-3.432,10.6554,26.69,86,89,1.79,GA,1681418753
296,clarksburg,39.2807,-80.3445,28.58,21,0,0.0,US,1681418753
297,khandyga,62.6667,135.6,-4.63,93,100,0.85,RU,1681418753
298,alytus,54.4,24.05,8.77,93,100,4.04,LT,1681418754
299,faanui,-16.4833,-151.75,27.76,70,19,3.59,PF,1681418585
300,kelowna,49.8831,-119.4857,11.98,30,0,3.09,CA,1681418568
